,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
4692,jovanovic,../inputs/case6495rte.graphml,6495,8084,2344,4,36564,81356,0,1567.0,1568,0.0006377551020408163,Timeout,22154,900518537,0,0,0
4693,cycles,../inputs/case6470rte.graphml,6470,8066,2352,8,29983,12940,2,1312.0,1312,0.0,Optimal,1581,8373238,65,714329,5737
4694,cycles,../inputs/case89pegase.graphml,89,206,43,7,621,178,3,13.0,13,0.0,Optimal,1,29892,26,1689,120
4695,brimkov,../inputs/case_Texas.graphml,2000,2667,376,2,11023,13699,3,939.0,939,0.0,Optimal,8692,20757929,0,0,0
4696,jovanovic,../inputs/case11_iwamoto.graphml,11,11,6,3,59,125,0,2.0,2,0.0,Optimal,1,4267,0,0,0
4697,brimkov,../inputs/case9241pegase.graphml,9241,14207,2902,35,54546,45832,0,2010.0,2010,0.0,Optimal,1,8570830,0,0,0
4698,forts,../inputs/case_GB2224.graphml,2224,2804,1367,5,7832,2224,1,354.0,359,0.013927576601671309,Timeout,1145926,900888528,878,3570633,7518
4699,jovanovic,../inputs/case6468rte.graphml,6468,8065,2384,13,36499,81061,0,1291.0,1291,0.0,Optimal,1753,81137735,0,0,0
4700,jovanovic,../inputs/case2869pegase.graphml,2869,3968,869,4,16202,31691,4,730.0,730,0.0,Optimal,2532,43785157,0,0,0
4701,brimkov,../inputs/case96rts.graphml,73,108,9,2,391,247,4,33.0,33,0.0,Optimal,1,9996,0,0,0
4702,forts,../inputs/case6468rte.graphml,6468,8065,2384,10,22598,6468,3,1292.0,1292,0.0,Optimal,1719,5637817,204,3054610,11878
4703,brimkov,../inputs/case_illinois200.graphml,200,245,44,6,1074,1304,3,45.0,45,0.0,Optimal,1,70236,0,0,0
4704,cycles,../inputs/case6495rte.graphml,6495,8084,2344,14,30069,12990,1,1314.0,1314,0.0,Optimal,2555,5268838,18,132986,4935
4705,forts,../inputs/case118.graphml,118,179,11,3,476,118,1,37.0,37,0.0,Optimal,463,87569,37,6828,354
4706,brimkov,../inputs/case5.graphml,5,6,0,1,22,10,2,5.0,5,0.0,Optimal,0,230,0,0,0
4707,brimkov,../inputs/case89pegase.graphml,89,206,43,3,710,682,3,21.0,21,0.0,Optimal,1,67597,0,0,0
4708,jovanovic,../inputs/case14.graphml,14,20,2,4,73,111,0,3.0,3,0.0,Optimal,1,4090,0,0,0
4709,cycles,../inputs/case2868rte.graphml,2868,3471,983,10,13053,5736,4,598.0,598,0.0,Optimal,5124,3758625,31,73350,2421
4710,cycles,../inputs/case_ieee30.graphml,30,41,7,3,137,60,4,8.0,8,0.0,Optimal,1,4300,12,270,23
4711,cycles,../inputs/case_Western.graphml,10024,12241,4106,15,48202,20048,2,1824.0,1825,0.000547945205479452,Timeout,116351,900752460,122,1309354,15383
4712,cycles,../inputs/case13659pegase.graphml,13659,18625,4024,1,63414,27318,3,10108.0,10122,0.0013831258644536654,Timeout,457842,906054000,368,3680850,36522
4713,forts,../inputs/case6468rte.graphml,6468,8065,2384,16,22598,6468,4,1291.0,1291,0.0,Optimal,1997,3083399,27,1647528,8629
4714,jovanovic,../inputs/case2737sop.graphml,2737,3266,655,5,13922,25903,4,690.0,690,0.0,Optimal,5519,24266511,0,0,0
4715,forts,../inputs/case13659pegase.graphml,13659,18625,4024,20,50909,13659,2,2732.0,2732,0.0,Optimal,1702,16889584,93,9381338,24957
4716,brimkov,../inputs/case2868rte.graphml,2868,3471,983,10,15921,21079,0,598.0,598,0.0,Optimal,1,1190231,0,0,0
4717,forts,../inputs/case_ieee30.graphml,30,41,7,2,112,30,2,12.0,12,0.0,Optimal,1,5459,18,1292,87
4718,jovanovic,../inputs/case2868rte.graphml,2868,3471,983,4,15921,36380,1,722.0,722,0.0,Optimal,1648,25492409,0,0,0
4719,forts,../inputs/case11_iwamoto.graphml,11,11,6,5,33,11,0,2.0,2,0.0,Optimal,1,1825,6,202,11
4720,cycles,../inputs/case_south_carolina500.graphml,500,584,211,8,2505,1000,4,78.0,78,0.0,Optimal,3579,510168,45,14397,1035
4721,forts,../inputs/case2746wp.graphml,2746,3274,704,5,9294,2746,2,690.0,690,0.0,Optimal,2173,2953622,57,515691,6236
4722,brimkov,../inputs/case_Western.graphml,10024,12241,4106,14,58226,75508,1,1825.0,1825,0.0,Optimal,8668,240427196,0,0,0
4723,forts,../inputs/case89pegase.graphml,89,206,43,12,501,89,4,13.0,13,0.0,Optimal,1,6872,13,3067,139
4724,forts,../inputs/case_Western.graphml,10024,12241,4106,17,34506,10024,2,1825.0,1825,0.0,Optimal,10710,31274260,156,6944018,19004
4725,forts,../inputs/case9.graphml,9,9,4,4,27,9,1,2.0,2,0.0,Optimal,5,3629,13,500,17
4726,brimkov,../inputs/case6515rte.graphml,6515,8104,2344,6,36664,46344,2,1369.0,1369,0.0,Optimal,3125,68970917,0,0,0
4727,brimkov,../inputs/case_Western.graphml,10024,12241,4106,18,58226,75508,2,1825.0,1825,0.0,Optimal,4498,144397663,0,0,0
4728,cycles,../inputs/case3012wp.graphml,3012,3566,726,9,12224,6024,2,755.0,755,0.0,Optimal,1984,2249338,28,52852,928
4729,cycles,../inputs/case_south_carolina500.graphml,500,584,211,11,2505,1000,4,75.0,75,0.0,Optimal,1,133346,18,7983,958
4730,jovanovic,../inputs/case89pegase.graphml,89,206,43,15,710,1379,3,13.0,13,0.0,Optimal,1,35331,0,0,0
4731,jovanovic,../inputs/case6468rte.graphml,6468,8065,2384,7,36499,81061,0,1313.0,1313,0.0,Optimal,2245,125337154,0,0,0
4732,brimkov,../inputs/case9.graphml,9,9,4,3,46,46,3,2.0,2,0.0,Optimal,1,1930,0,0,0
4733,jovanovic,../inputs/case57.graphml,57,78,15,6,310,523,4,12.0,12,0.0,Optimal,1,12674,0,0,0
4734,forts,../inputs/case33bw.graphml,33,32,1,1,97,33,3,32.0,32,0.0,Optimal,1,1191,6,605,160
4735,cycles,../inputs/case_south_carolina500.graphml,500,584,211,10,2505,1000,1,75.0,75,0.0,Optimal,1,123965,21,8678,974
4736,brimkov,../inputs/case145.graphml,145,422,71,9,1440,2704,4,18.0,18,0.0,Optimal,3329,1912239,0,0,0
4737,brimkov,../inputs/case13659pegase.graphml,13659,18625,4024,17,77073,93003,2,2746.0,2746,0.0,Optimal,3529,5786297,0,0,0
4738,cycles,../inputs/case89pegase.graphml,89,206,43,3,621,178,4,21.0,21,0.0,Optimal,1032,116249,32,2754,165
4739,brimkov,../inputs/case2746wop.graphml,2746,3300,709,6,14133,12721,1,681.0,681,0.0,Optimal,1033,2887780,0,0,0
4740,cycles,../inputs/case_GB2224.graphml,2224,2804,1367,6,11890,4448,2,338.0,338,0.0,Optimal,1968,4414427,63,155304,4273
4741,brimkov,../inputs/case2737sop.graphml,2737,3266,655,8,13922,12484,4,683.0,683,0.0,Optimal,1,1396330,0,0,0
4742,cycles,../inputs/case6495rte.graphml,6495,8084,2344,16,30069,12990,4,1314.0,1314,0.0,Optimal,5710,11015896,25,131349,5666
4743,brimkov,../inputs/case2848rte.graphml,2848,3442,1023,1,15831,20631,2,1869.0,1869,0.0,Optimal,2947,16544709,0,0,0
4744,jovanovic,../inputs/case2383wp.graphml,2383,2886,552,6,12244,23194,4,596.0,596,0.0,Optimal,1191,7073214,0,0,0
4745,forts,../inputs/case_illinois200.graphml,200,245,44,4,690,200,0,57.0,57,0.0,Optimal,2126,357192,97,28888,734
4746,brimkov,../inputs/case6ww.graphml,6,11,1,6,37,21,2,1.0,1,0.0,Optimal,0,295,0,0,0
4747,brimkov,../inputs/case1354pegase.graphml,1354,1710,422,1,7269,7537,1,969.0,969,0.0,Optimal,1,450663,0,0,0
4748,jovanovic,../inputs/case2869pegase.graphml,2869,3968,869,7,16202,31691,3,620.0,620,0.0,Optimal,1970,11851072,0,0,0
4749,brimkov,../inputs/case1951rte.graphml,1951,2375,651,13,10803,13715,2,393.0,393,0.0,Optimal,1,728368,0,0,0
4750,brimkov,../inputs/case3012wp.graphml,3012,3566,726,6,15236,13432,2,758.0,758,0.0,Optimal,6734,9845452,0,0,0
4751,forts,../inputs/case_GB2224.graphml,2224,2804,1367,3,7832,2224,0,494.0,-1,100.0,Timeout,246502,900221844,375,2643462,13966
4752,brimkov,../inputs/case145.graphml,145,422,71,18,1440,2704,0,18.0,18,0.0,Optimal,1,216189,0,0,0
4753,forts,../inputs/case1951rte.graphml,1951,2375,651,9,6701,1951,4,397.0,397,0.0,Optimal,1931,818221,27,238318,3630
4754,cycles,../inputs/case3120sp.graphml,3120,3684,798,8,12750,6240,2,768.0,768,0.0,Optimal,1878,2772036,45,74256,1791
4755,jovanovic,../inputs/case2737sop.graphml,2737,3266,655,7,13922,25903,1,683.0,683,0.0,Optimal,18,2689660,0,0,0
4756,cycles,../inputs/case24_ieee_rts.graphml,24,34,4,4,105,48,4,6.0,6,0.0,Optimal,1,1846,5,75,4
